clip,src,tgt,same_lang,cold,clip_duration_s,ffmpeg_s,asr_s,translate_s,translate_model_s,translate_http_s,tts_s,total_s,src_chars,tgt_chars
clip_001.wav,hindi,tamil,False,True,8.6,0.1,0.878,59.62,59.593,0.027,2.084,62.682,139,154
clip_001.wav,hindi,marathi,False,False,8.6,0.101,0.331,6.753,6.746,0.008,2.506,9.691,139,140
clip_001.wav,hindi,hindi,True,False,8.6,0.095,0.303,0.0,,,2.628,3.025,139,139
clip_002.wav,hindi,tamil,False,False,10.12,0.099,0.527,35.259,35.249,0.01,2.066,37.951,175,194
clip_002.wav,hindi,marathi,False,False,10.12,0.099,0.534,7.946,7.938,0.008,2.709,11.287,175,177
clip_002.wav,hindi,hindi,True,False,10.12,0.101,0.515,0.0,,,2.773,3.389,175,175
clip_003.wav,hindi,tamil,False,False,12.52,0.108,0.597,8.156,8.149,0.007,2.212,11.073,210,227
clip_003.wav,hindi,marathi,False,False,12.52,0.098,0.577,7.014,7.007,0.007,2.852,10.542,210,214
clip_003.wav,hindi,hindi,True,False,12.52,0.101,0.573,0.0,,,3.63,4.305,210,210
clip_004.wav,hindi,tamil,False,False,12.24,0.105,0.6,28.283,28.273,0.009,2.063,31.05,189,202
clip_004.wav,hindi,marathi,False,False,12.24,0.097,0.487,10.403,10.396,0.008,2.76,13.747,189,180
clip_004.wav,hindi,hindi,True,False,12.24,0.1,0.507,0.0,,,3.541,4.149,189,189
clip_005.wav,hindi,tamil,False,False,9.36,0.101,0.404,10.128,10.12,0.008,1.995,12.628,150,168
clip_005.wav,hindi,marathi,False,False,9.36,0.096,0.519,6.428,6.42,0.008,2.92,9.963,150,124
clip_005.wav,hindi,hindi,True,False,9.36,0.095,0.525,0.0,,,2.944,3.564,150,150
clip_001.wav,tamil,hindi,False,False,12.48,0.069,0.911,20.906,20.897,0.009,5.102,26.988,212,240
clip_001.wav,tamil,tamil,True,False,12.48,0.091,0.877,0.0,,,2.159,3.127,212,212
clip_002.wav,tamil,hindi,False,False,10.0,0.069,0.656,10.535,10.525,0.01,2.842,14.102,176,158
clip_002.wav,tamil,tamil,True,False,10.0,0.069,0.631,0.0,,,2.008,2.709,176,176
clip_003.wav,tamil,hindi,False,False,11.0,0.069,0.499,9.484,9.474,0.01,2.742,12.795,176,153
clip_003.wav,tamil,tamil,True,False,11.0,0.069,0.541,0.0,,,2.007,2.616,176,176
clip_004.wav,tamil,hindi,False,False,8.76,0.088,0.756,14.75,14.742,0.009,2.886,18.48,160,161
clip_004.wav,tamil,tamil,True,False,8.76,0.069,0.602,0.0,,,1.964,2.636,160,160
clip_005.wav,tamil,hindi,False,False,14.56,0.07,0.899,11.055,11.046,0.009,3.07,15.094,269,185
clip_005.wav,tamil,tamil,True,False,14.56,0.075,1.14,0.0,,,2.407,3.621,269,269
