clip,src,tgt,same_lang,cold,clip_duration_s,ffmpeg_s,asr_s,translate_s,translate_model_s,translate_http_s,tts_s,total_s,src_chars,tgt_chars
clip_001.wav,hindi,tamil,False,True,8.6,0.067,0.357,0.461,0.454,0.008,2.081,2.967,139,154
clip_001.wav,hindi,marathi,False,False,8.6,0.07,0.341,0.375,0.368,0.007,2.851,3.637,139,149
clip_001.wav,hindi,hindi,True,False,8.6,0.07,0.334,0.0,,,2.92,3.324,139,139
clip_002.wav,hindi,tamil,False,False,10.12,0.07,0.568,0.601,0.594,0.007,2.269,3.508,175,201
clip_002.wav,hindi,marathi,False,False,10.12,0.073,0.566,0.477,0.471,0.006,3.082,4.199,175,194
clip_002.wav,hindi,hindi,True,False,10.12,0.073,0.58,0.0,,,3.362,4.015,175,175
clip_003.wav,hindi,tamil,False,False,12.52,0.072,0.645,0.688,0.681,0.007,2.474,3.879,210,243
clip_003.wav,hindi,marathi,False,False,12.52,0.07,0.622,0.603,0.596,0.007,3.204,4.498,210,212
clip_003.wav,hindi,hindi,True,False,12.52,0.069,0.614,0.0,,,4.073,4.756,210,210
clip_004.wav,hindi,tamil,False,False,12.24,0.069,0.568,0.684,0.676,0.008,2.355,3.675,189,211
clip_004.wav,hindi,marathi,False,False,12.24,0.069,0.538,0.494,0.488,0.006,3.106,4.208,189,189
clip_004.wav,hindi,hindi,True,False,12.24,0.075,0.538,0.0,,,3.852,4.465,189,189
clip_005.wav,hindi,tamil,False,False,9.36,0.071,0.486,0.446,0.439,0.006,2.225,3.227,150,182
clip_005.wav,hindi,marathi,False,False,9.36,0.072,0.443,0.371,0.365,0.006,2.794,3.679,150,146
clip_005.wav,hindi,hindi,True,False,9.36,0.071,0.456,0.0,,,3.112,3.639,150,150
clip_001.wav,tamil,hindi,False,False,12.48,0.07,0.853,0.486,0.479,0.007,3.17,4.579,212,165
clip_001.wav,tamil,tamil,True,False,12.48,0.071,0.839,0.0,,,2.373,3.283,212,212
clip_002.wav,tamil,hindi,False,False,10.0,0.07,0.591,0.414,0.407,0.007,3.037,4.112,176,152
clip_002.wav,tamil,tamil,True,False,10.0,0.07,0.604,0.0,,,2.188,2.862,176,176
clip_003.wav,tamil,hindi,False,False,11.0,0.07,0.546,0.478,0.471,0.007,3.067,4.16,176,148
clip_003.wav,tamil,tamil,True,False,11.0,0.07,0.547,0.0,,,2.218,2.835,176,176
clip_004.wav,tamil,hindi,False,False,8.76,0.069,0.565,0.45,0.443,0.007,3.086,4.169,160,145
clip_004.wav,tamil,tamil,True,False,8.76,0.069,0.561,0.0,,,2.142,2.772,160,160
clip_005.wav,tamil,hindi,False,False,14.56,0.073,0.921,0.731,0.724,0.006,5.85,7.574,269,249
clip_005.wav,tamil,tamil,True,False,14.56,0.069,0.867,0.0,,,2.63,3.567,269,269
